Name,Team,Number,Position,Age,Height,Weight,College,Salary,height,AgeGroup
Avery Bradley,Boston Celtics,0,PG,25,2023-02-06 00:00:00,180,Texas,7730337.0,156,18-25
Jae Crowder,Boston Celtics,99,SF,25,2023-06-06 00:00:00,235,Marquette,6796117.0,169,18-25
John Holland,Boston Celtics,30,SG,27,2023-05-06 00:00:00,205,Boston University,,178,26-30
R.J. Hunter,Boston Celtics,28,SG,22,2023-05-06 00:00:00,185,Georgia State,1148640.0,164,18-25
Jonas Jerebko,Boston Celtics,8,PF,29,2023-10-06 00:00:00,231,,5000000.0,160,26-30
Amir Johnson,Boston Celtics,90,PF,29,2023-09-06 00:00:00,240,,12000000.0,157,26-30
Jordan Mickey,Boston Celtics,55,PF,21,2023-08-06 00:00:00,235,LSU,1170960.0,178,18-25
Kelly Olynyk,Boston Celtics,41,C,25,7-0,238,Gonzaga,2165160.0,170,18-25
Terry Rozier,Boston Celtics,12,PG,22,2023-02-06 00:00:00,190,Louisville,1824360.0,156,18-25
Marcus Smart,Boston Celtics,36,PG,22,2023-04-06 00:00:00,220,Oklahoma State,3431040.0,175,18-25
Jared Sullinger,Boston Celtics,7,C,24,2023-09-06 00:00:00,260,Ohio State,2569260.0,168,18-25
Isaiah Thomas,Boston Celtics,4,PG,27,2023-09-05 00:00:00,185,Washington,6912869.0,172,26-30
Evan Turner,Boston Celtics,11,SG,27,2023-07-06 00:00:00,220,Ohio State,3425510.0,160,26-30
James Young,Boston Celtics,13,SG,20,2023-06-06 00:00:00,215,Kentucky,1749840.0,160,18-25
Tyler Zeller,Boston Celtics,44,C,26,7-0,253,North Carolina,2616975.0,173,26-30
Bojan Bogdanovic,Brooklyn Nets,44,SG,27,2023-08-06 00:00:00,216,,3425510.0,170,26-30
Markel Brown,Brooklyn Nets,22,SG,24,2023-03-06 00:00:00,190,Oklahoma State,845059.0,153,18-25
Wayne Ellington,Brooklyn Nets,21,SG,28,2023-04-06 00:00:00,200,North Carolina,1500000.0,157,26-30
Rondae Hollis-Jefferson,Brooklyn Nets,24,SG,21,2023-07-06 00:00:00,220,Arizona,1335480.0,173,18-25
Jarrett Jack,Brooklyn Nets,2,PG,32,2023-03-06 00:00:00,200,Georgia Tech,6300000.0,152,31-35
Sergey Karasev,Brooklyn Nets,10,SG,22,2023-07-06 00:00:00,208,,1599840.0,171,18-25
Sean Kilpatrick,Brooklyn Nets,6,SG,26,2023-04-06 00:00:00,219,Cincinnati,134215.0,170,26-30
Shane Larkin,Brooklyn Nets,0,PG,23,2023-11-05 00:00:00,175,Miami (FL),1500000.0,151,18-25
Brook Lopez,Brooklyn Nets,11,C,28,7-0,275,Stanford,19689000.0,173,26-30
Chris McCullough,Brooklyn Nets,1,PF,21,2023-11-06 00:00:00,200,Syracuse,1140240.0,161,18-25
Willie Reed,Brooklyn Nets,33,PF,26,2023-10-06 00:00:00,220,Saint Louis,947276.0,179,26-30
Thomas Robinson,Brooklyn Nets,41,PF,25,2023-10-06 00:00:00,237,Kansas,981348.0,155,18-25
Henry Sims,Brooklyn Nets,14,C,26,2023-10-06 00:00:00,248,Georgetown,947276.0,151,26-30
